,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
245,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
246,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
247,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
248,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
249,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
250,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
251,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
252,,,,,,,,,,,,,,,,,,,,,,,,,
253,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
254,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
255,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
256,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
257,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
258,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
259,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
260,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
261,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
262,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
263,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
264,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
265,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
266,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
267,6,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,
268,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
269,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
270,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
271,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
272,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
273,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
274,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
275,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
276,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
277,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
278,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
279,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
280,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
281,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
282,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
283,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
284,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
285,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
286,6,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,
287,6,7,8,8,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,
288,,,,,,,,,,,,,,,,,,,,,,,,,
289,,,,,,,,,,,,,,,,,,,,,,,,,
290,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
291,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
292,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
293,,,,,,,,,,,,,,,,,,,,,,,,,
294,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
295,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
296,6,7,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,
297,,,,,,,,,,,,,,,,,,,,,,,,,
298,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
299,,,,,,,,,,,,,,,,,,,,,,,,,
300,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
301,6,6,7,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,
302,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
303,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
304,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
305,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
306,,,,,,,,,,,,,,,,,,,,,,,,,
307,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
308,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
309,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
310,,,,,,,,,,,,,,,,,,,,,,,,,
311,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
312,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
313,,,,,,,,,,,,,,,,,,,,,,,,,
314,,,,,,,,,,,,,,,,,,,,,,,,,
315,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
316,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
317,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
318,6,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,
319,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
320,6,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,
321,6,7,8,8,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,
322,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
323,,,,,,,,,,,,,,,,,,,,,,,,,
324,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
325,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
326,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
327,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
328,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
329,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
330,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
331,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
332,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
333,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
334,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
335,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
336,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
337,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
338,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
339,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
340,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
341,6,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,
342,6,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,
343,,,,,,,,,,,,,,,,,,,,,,,,,
344,6,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,
345,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
346,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
347,6,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,
348,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
349,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
350,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
351,,,,,,,,,,,,,,,,,,,,,,,,,
352,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
353,,,,,,,,,,,,,,,,,,,,,,,,,
354,6,7,8,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,
355,,,,,,,,,,,,,,,,,,,,,,,,,
356,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
357,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
358,,,,,,,,,,,,,,,,,,,,,,,,,
359,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
